data;hora;cpu_total_percentual;cpu_total_status;ram_percentual;ram_status;disco_percentual;disco_status;cpu_maior_uso;maior_uso_cpu_percentual;processadores_fisicos;processadores_virtuais
04/09/2026;22:26:38;61.57;ATENCAO;95.1;CRITICO;63.6;ATENCAO;2;75.0;10;12
04/09/2026;22:26:48;17.71;NORMAL;90.0;CRITICO;63.6;ATENCAO;6;33.8;10;12
04/09/2026;22:26:58;21.02;NORMAL;89.0;ALTO;63.6;ATENCAO;0;34.7;10;12
04/09/2026;22:27:08;16.93;NORMAL;91.0;CRITICO;63.6;ATENCAO;4;23.4;10;12
04/09/2026;22:27:18;13.68;NORMAL;93.7;CRITICO;63.6;ATENCAO;0;31.1;10;12
04/09/2026;22:27:28;45.37;NORMAL;91.7;CRITICO;63.6;ATENCAO;11;67.2;10;12
04/09/2026;22:27:38;6.86;NORMAL;87.5;ALTO;63.6;ATENCAO;0;20.6;10;12
04/09/2026;22:27:48;9.11;NORMAL;87.4;ALTO;63.6;ATENCAO;2;25.8;10;12
04/09/2026;22:27:58;13.59;NORMAL;87.5;ALTO;63.6;ATENCAO;1;25.4;10;12
04/09/2026;22:28:08;19.38;NORMAL;89.3;ALTO;63.6;ATENCAO;0;23.5;10;12
04/09/2026;22:28:18;40.69;NORMAL;89.6;ALTO;63.6;ATENCAO;8;58.2;10;12
04/09/2026;22:28:28;15.92;NORMAL;87.2;ALTO;63.6;ATENCAO;5;23.1;10;12
04/09/2026;22:28:38;37.64;NORMAL;95.2;CRITICO;63.6;ATENCAO;1;68.8;10;12
04/09/2026;22:28:48;10.68;NORMAL;90.5;CRITICO;63.6;ATENCAO;0;19.1;10;12
04/09/2026;22:28:58;5.52;NORMAL;91.0;CRITICO;63.6;ATENCAO;0;14.1;10;12
04/09/2026;22:29:08;14.81;NORMAL;90.3;CRITICO;63.6;ATENCAO;1;32.8;10;12
04/09/2026;22:29:18;9.46;NORMAL;90.3;CRITICO;63.6;ATENCAO;1;20.6;10;12
04/09/2026;22:29:28;12.64;NORMAL;92.0;CRITICO;63.6;ATENCAO;6;17.2;10;12
04/09/2026;22:29:38;42.11;NORMAL;94.9;CRITICO;63.6;ATENCAO;1;52.2;10;12
04/09/2026;22:29:48;16.37;NORMAL;91.9;CRITICO;63.6;ATENCAO;1;23.9;10;12
04/09/2026;22:29:58;33.18;NORMAL;92.9;CRITICO;63.6;ATENCAO;0;44.1;10;12
04/09/2026;22:30:08;31.09;NORMAL;95.1;CRITICO;63.6;ATENCAO;0;74.3;10;12
04/09/2026;22:30:18;38.55;NORMAL;95.3;CRITICO;63.6;ATENCAO;0;55.9;10;12
04/09/2026;22:30:28;43.17;NORMAL;96.0;CRITICO;63.6;ATENCAO;2;60.9;10;12
04/09/2026;22:30:38;42.1;NORMAL;96.4;CRITICO;63.6;ATENCAO;0;73.1;10;12
04/09/2026;22:30:48;20.24;NORMAL;91.6;CRITICO;63.6;ATENCAO;0;64.3;10;12
04/09/2026;22:30:58;22.93;NORMAL;95.7;CRITICO;63.6;ATENCAO;2;46.0;10;12
04/09/2026;22:31:08;36.21;NORMAL;95.5;CRITICO;63.6;ATENCAO;0;71.0;10;12
04/09/2026;22:31:18;21.91;NORMAL;96.3;CRITICO;63.6;ATENCAO;3;54.7;10;12
04/09/2026;22:31:28;35.06;NORMAL;96.2;CRITICO;63.6;ATENCAO;2;68.8;10;12
04/09/2026;22:31:38;48.5;NORMAL;97.2;CRITICO;63.6;ATENCAO;10;61.5;10;12
04/09/2026;22:31:48;25.25;NORMAL;97.7;CRITICO;63.6;ATENCAO;9;35.8;10;12
04/09/2026;22:31:58;47.12;NORMAL;98.6;CRITICO;63.6;ATENCAO;0;61.4;10;12
04/09/2026;22:32:08;15.92;NORMAL;97.3;CRITICO;63.6;ATENCAO;2;22.7;10;12
04/09/2026;22:32:18;26.22;NORMAL;86.8;ALTO;63.6;ATENCAO;10;38.1;10;12
04/09/2026;22:32:28;22.14;NORMAL;89.2;ALTO;63.6;ATENCAO;3;43.1;10;12
04/09/2026;22:32:38;78.18;ATENCAO;96.8;CRITICO;63.6;ATENCAO;3;92.6;10;12
04/09/2026;22:32:48;17.19;NORMAL;93.7;CRITICO;63.6;ATENCAO;3;45.3;10;12
04/09/2026;22:32:58;22.44;NORMAL;93.9;CRITICO;63.6;ATENCAO;11;35.9;10;12
04/09/2026;22:33:08;32.47;NORMAL;92.9;CRITICO;63.6;ATENCAO;10;39.7;10;12
04/09/2026;22:33:18;16.64;NORMAL;81.0;ALTO;63.6;ATENCAO;7;29.2;10;12
04/09/2026;22:33:28;9.72;NORMAL;78.3;ATENCAO;63.6;ATENCAO;0;32.8;10;12
04/09/2026;22:33:38;18.96;NORMAL;77.4;ATENCAO;63.6;ATENCAO;10;32.8;10;12
04/09/2026;22:33:48;17.23;NORMAL;77.4;ATENCAO;63.6;ATENCAO;2;22.4;10;12
04/09/2026;22:33:58;3.74;NORMAL;78.0;ATENCAO;63.6;ATENCAO;2;10.8;10;12
04/09/2026;22:34:08;21.51;NORMAL;81.1;ALTO;63.6;ATENCAO;7;36.5;10;12
04/09/2026;22:34:18;13.16;NORMAL;81.3;ALTO;63.6;ATENCAO;7;18.8;10;12
04/09/2026;22:34:28;32.48;NORMAL;71.3;ATENCAO;63.6;ATENCAO;6;53.8;10;12
05/09/2026;12:22:39;26.62;NORMAL;94.6;CRITICO;63.9;ATENCAO;0;37.1;10;12
